PassengerId;Parch;Ticket;Fare;Cabin;Embarked
1;0;330911;7.8292;;Q
2;0;363272;;;S
3;0;240276;9.6875;;Q
4;0;315154;8.6625;;S
5;1;3101298;12.2875;;S
6;0;7538;9.225;;S
7;0;330972;7.6292;;Q
8;1;248738;;;S
9;0;2657;7.2292;;C
10;0;A/4 48871;24.15;;S
11;0;349220;7.8958;;S
12;0;694;;;S
13;0;21228;82.2667;B45;S
14;0;24065;26;;S
15;0;W.E.P. 5734;61.175;E31;S
16;0;SC/PARIS 2167;27.7208;;C
16;0;SC/PARIS 2167;27.7208;;C
17;0;233734;12.35;;Q
18;0;2692;7.225;;C
19;0;STON/O2. 3101270;7.925;;S
20;0;2696;7.225;;C
21;0;PC 17603;59.4;;C
22;1;C 17368;3.1708;;S
23;0;PC 17598;31.6833;;S
24;1;PC 17597;61.3792;;C
24;1;PC 17597;61.3792;;C
25;3;PC 17608;262.375;B57 B59 B63 B66;C
26;0;A/5. 3337;14.5;;S
27;1;113509;61.9792;B36;C
28;0;2698;7.225;;C
29;0;113054;30.5;A21;S
30;0;2662;21.6792;;C
31;0;SC/AH 3085;26;;S
32;0;C.A. 31029;31.5;;S
33;2;C.A. 2315;20.575;;S
34;2;W./C. 6607;23.45;;S
35;0;13236;57.75;C78;C
36;0;2682;7.2292;;C
37;0;342712;8.05;;S
37;0;342712;8.05;;S
38;0;315087;8.6625;;S
39;0;345768;9.5;;S
40;0;1601;56.4958;;S
41;1;349256;13.4167;;C
42;0;113778;26.55;D34;S
43;0;SOTON/O.Q. 3101263;7.85;;S
44;0;237249;13;;S
45;0;11753;52.5542;D19;S
46;0;STON/O 2. 3101291;7.925;;S
47;0;PC 17594;29.7;A9;C
48;0;370374;;;Q
49;0;11813;76.2917;D15;C
50;2;C.A. 37671;15.9;;S
51;0;13695;60;C31;S
52;0;SC/PARIS 2168;15.0333;;C
53;1;29105;;;S
54;2;19950;263;C23 C25 C27;S
55;0;SC/A.3 2861;15.5792;;C
55;0;SC/A.3 2861;15.5792;;C
56;1;382652;29.125;;Q
57;0;349230;7.8958;;S
58;0;348122;7.65;F G63;S
59;0;386525;16.1;;S
60;0;PC 17608;;B61;C
61;0;349232;7.8958;;S
62;0;237216;13.5;;S
63;0;347090;7.75;;S
64;0;334914;7.725;;Q
65;2;PC 17608;262.375;B57 B59 B63 B66;C
66;0;F.C.C. 13534;21;;S
67;0;330963;7.8792;;Q
68;0;113796;42.4;;S
68;0;113796;42.4;;S
69;0;2543;28.5375;C53;C
70;4;19950;263;C23 C25 C27;S
71;0;382653;7.75;;Q
72;0;349211;7.8958;;S
73;0;3101297;7.925;;S
74;0;PC 17562;27.7208;D43;C
75;0;113503;211.5;C130;C
76;0;113503;211.5;C132;C
77;0;359306;8.05;;S
78;0;11770;25.7;C101;S
79;0;248744;13;;S
80;0;368702;7.75;;Q
81;1;2678;15.2458;;C
82;0;PC 17483;221.7792;C55 C57;S
83;0;19924;26;;S
84;0;349238;7.8958;;S
84;0;349238;7.8958;;S
85;0;240261;10.7083;;Q
86;0;2660;14.4542;;C
87;0;330844;7.8792;;Q
88;0;A/4 31416;8.05;;S
89;0;364856;7.75;;Q
90;1;29103;23;;S
91;0;347072;13.9;;S
92;0;345498;7.775;;S
93;2;F.C. 12750;52;B71;S
94;0;376563;8.05;;S
95;0;13905;26;;C
96;0;350033;7.7958;;S
97;0;19877;78.85;C46;S
98;0;STON/O 2. 3101268;7.925;;S
98;0;STON/O 2. 3101268;7.925;;S
99;0;347471;7.8542;;S
100;0;A./5. 3338;8.05;;S
101;0;11778;55.4417;C116;C
102;0;228414;26;;S
103;0;365235;7.75;;Q
104;0;347070;7.775;;S
105;1;2625;8.5167;;C
106;0;C 4001;22.525;;S
107;0;330920;7.8208;;Q
108;0;383162;7.75;;Q
108;0;383162;7.75;;Q
109;0;3410;8.7125;;S
110;0;248734;13;F;S
111;0;237734;15.0458;;C
112;0;330968;7.7792;;Q
113;0;PC 17531;31.6792;A29;C
114;0;329944;7.2833;;Q
115;0;PC 17483;221.7792;C55 C57;S
116;0;2680;14.4542;;C
117;0;2681;6.4375;;C
118;1;PP 9549;16.7;G6;S
118;1;PP 9549;16.7;G6;S
119;0;13050;75.2417;C6;C
120;0;SC/AH 29037;26;;S
121;0;C.A. 33595;15.75;;S
122;0;367227;7.75;;Q
123;0;13236;57.75;C28;C
124;0;392095;7.25;;S
125;0;368783;7.75;;Q
126;1;371362;16.1;;S
127;0;350045;7.7958;;S
128;0;367226;23.25;;Q
129;0;211535;13;;S
130;0;342441;8.05;;S
131;0;STON/OQ. 369943;8.05;;S
132;0;113780;28.5;C51;C
132;0;113780;28.5;C51;C
133;4;4133;25.4667;;S
134;0;2621;6.4375;;C
135;0;349226;7.8958;;S
136;0;350409;7.8542;;S
137;0;2656;7.225;;C
138;0;248659;13;;S
139;0;SOTON/OQ 392083;8.05;;S
140;6;CA 2144;46.9;;S
141;2;CA 2144;46.9;;S
142;0;113781;;;S
142;0;113781;151.55;;S
143;3;PC 17608;262.375;B57 B59 B63 B66;C
144;0;244358;26;;S
145;0;17475;26.55;;S
146;0;345763;18;;S
147;0;17463;51.8625;E46;S
148;0;SC/A4 23568;8.05;;S
149;0;113791;26.55;;S
150;1;250651;;;S
151;1;11767;83.1583;C54;C
152;0;349255;7.8958;;C
153;0;3701;;;S
154;2;350405;12.1833;;S
155;2;347077;31.3875;;S
156;0;S.O./P.P. 752;7.55;;S
157;0;PC 17483;221.7792;C97;S
158;0;347469;7.8542;;S
159;0;110489;26.55;D22;S
160;2;SOTON/O.Q. 3101315;13.775;;S
161;0;335432;;;Q
161;0;335432;7.7333;;Q
162;1;2650;15.2458;;C
163;0;220844;13.5;;S
164;0;343271;7;;S
165;0;237393;13;;S
166;1;315153;22.025;;S
167;0;PC 17591;50.4958;B10;C
168;2;W./C. 6608;34.375;;S
169;0;17770;27.7208;;C
170;0;7548;8.9625;;S
171;0;S.O./P.P. 251;7.55;;S
172;0;2670;7.225;;C
173;0;347072;13.9;;S
174;0;2673;7.2292;;C
175;5;347077;31.3875;;S
176;2;29750;39;;S
177;0;C.A. 33112;36.75;;S
178;0;11778;55.4417;C116;C
178;0;11778;55.4417;C116;C
179;3;230136;39;F4;S
180;2;PC 17756;;E45;C
181;0;233478;13;;S
182;1;PC 17756;83.1583;E52;C
183;0;113773;53.1;D30;S
184;0;7935;7.75;;Q
185;1;PC 17558;247.5208;B58 B60;C
186;0;239059;16;;S
187;1;S.O./P.P. 2;21;;S
188;0;A/4 48873;8.05;;S
189;2;CA. 2343;69.55;;S
190;0;28221;13;;S
191;0;226875;26;;S
192;0;111163;26;;S
193;1;A/5. 851;14.5;;S
194;0;235509;12.35;;Q
195;2;28220;32.5;;S
196;0;347465;7.8542;;S
197;2;16966;134.5;E34;C
197;2;16966;;E34;C
198;0;347066;7.775;;S
199;0;C.A. 31030;10.5;;S
200;0;65305;8.1125;;S
201;0;36568;15.5;;Q
